NUMB_strike,FEB,IP
5,0,1.517
4,1,0.997
6,0,0.117
16,0,0.473
5,0,1.277
8,0,1.138
8,0,0.424
9,0,-0.687
10,0,-0.023
10,0,0.791
7,0,2.538
1,0,2.939
6,0,3.927
5,1,3.71
6,0,4.186
5,0,3.156
13,0,2.18
6,0,2.299
10,0,2.057
13,0,2.191
4,0,2.094
8,0,2.171
5,0,1.298
2,0,-0.268
2,1,-0.987
2,0,-1.491
8,0,-2.361
4,0,-3.252
11,0,-3.957
4,0,-4.163
8,0,-5.107
9,0,-6.215
9,0,-8.626
4,0,-9.308
9,0,-4.777
8,1,-5.161
5,0,-5.473
5,0,-5.417
10,0,-5.196
3,0,-5.467
5,0,-6.169
4,0,-6.945
6,0,-5.824
6,0,-4.592
5,0,-4.61
1,0,-3.983
2,0,-1.353
2,1,-0.784
2,0,-0.354
2,0,1.303
4,0,0.513
3,0,0.535
2,0,-0.426
3,0,1.355
1,0,2.125
2,0,3.531
1,0,5.65
1,0,6.344
1,1,7.687
1,0,7.902
5,0,7.602
7,0,7.744
2,0,7.427
9,0,7.816
3,0,7.036
6,0,7.217
9,0,7.773
3,0,8.554
3,0,7.418
5,0,7.053
9,1,6.554
10,0,6.753
9,0,6.072
15,0,6.508
18,0,6.45
13,0,6.319
10,0,5.579
9,0,5.197
7,0,3.458
7,0,-0.225
3,0,-9.771
3,1,-12.124
4,0,-13.996
2,0,-12.59
1,0,-12.224
2,0,-10.443
2,0,-8.656
3,0,-6.279
5,0,-5.79
5,0,-4.919
1,0,-4.494
1,0,-2.7
1,1,-0.601
1,0,-0.693
8,0,-0.528
5,0,-0.155
9,0,-0.7
6,0,-0.157
3,0,0.134
4,0,-1.281
6,0,-1.538
2,0,-0.703
3,0,-3.00E-03
