Danger,Body,Brain,Sleep
3,6654,5712,3.3
3,1,6.6,8.3
1,3.385,44.5,12.5
3,0.92,5.7,16.5
4,2547,4603,3.9
4,10.55,179.5,9.8
1,0.023,0.3,19.7
4,160,169,6.2
1,3.3,25.6,14.5
1,52.16,440,9.7
4,0.425,6.4,12.5
5,465,423,3.9
2,0.55,2.4,10.3
5,187.1,419,3.1
1,0.075,1.2,8.4
2,3,25,8.6
2,0.785,3.5,10.7
2,0.2,5,10.7
1,1.41,17.5,6.1
1,60,81,18.1
5,529,680,NA
5,27.66,115,3.8
2,0.12,1,14.4
1,207,406,12
1,85,325,6.2
1,36.33,119.5,13
3,0.101,4,13.8
4,1.04,5.5,8.2
5,521,655,2.9
1,100,157,10.8
4,35,56,NA
4,0.005,0.14,9.1
1,0.01,0.25,19.9
1,62,1320,8
1,0.122,3,10.6
3,1.35,8.1,11.2
3,0.023,0.4,13.2
3,0.048,0.33,12.8
1,1.7,6.3,19.4
1,3.5,10.8,17.4
5,250,490,NA
2,0.48,15.5,17
4,10,115,10.9
2,1.62,11.4,13.7
4,192,180,8.4
5,2.5,12.1,8.4
2,4.288,39.2,12.5
3,0.28,1.9,13.2
1,4.235,50.4,9.8
2,6.8,179,9.6
2,0.75,12.3,6.6
3,3.6,21,5.4
5,14.83,98.2,2.6
5,55.5,175,3.8
2,1.4,12.5,11
2,0.06,1,10.3
2,0.9,2.6,13.3
3,2,12.3,5.4
2,0.104,2.5,15.8
4,4.19,58,10.3
1,3.5,3.9,19.4
1,4.05,17,NA
